Date,Open,Close,Low,High,Volume
2010-01-04,313.788791792,313.688694195,312.43243793799996,315.070072573,3908400.0
2010-01-05,313.903904405,312.30731581599997,311.081089089,314.234226227,6003300.0
2010-01-06,313.24325976,304.434451952,303.483493994,313.24325976,7949400.0
2010-01-07,305.005009009,297.347354855,296.62161661700003,305.30530180200003,12815700.0
2010-01-08,296.296298799,301.311313814,294.849857358,301.926944945,9439100.0
2010-01-11,302.532535536,300.85586937,297.317325826,302.532535536,14411300.0
2010-01-12,299.124118619,295.53552602599996,294.294284785,299.379398399,9696800.0
2010-01-13,288.533542543,293.838840341,287.237247248,294.484501001,12980200.0
2010-01-14,292.242252253,295.220218719,291.69668969,297.39740390400004,8471700.0
2010-01-15,296.966983984,290.290286787,289.3092993,297.077091091,10858100.0
2010-01-19,290.890903404,294.104099099,288.433444945,295.505496997,8624700.0
2010-01-20,293.283298299,290.495486987,287.932925926,293.283298299,6494800.0
2010-01-21,292.012027528,291.781772773,286.411411412,293.703708709,12602700.0
2010-01-22,282.532535536,275.280276777,267.697696196,285.585575075,13587100.0
2010-01-25,273.568576577,270.270267268,268.023013514,275.215213714,8830900.0
2010-01-26,269.254245246,271.48147948,268.413424925,275.075076577,8702200.0
2010-01-27,270.905917918,271.321323324,267.92291591599997,274.099094094,7920800.0
2010-01-28,272.517520521,267.412417918,265.565555055,273.773776777,6451700.0
2010-01-29,269.51453003,265.235232733,263.06805755799996,270.76578128200003,8272700.0
2010-02-01,267.56756957,266.776767268,265.415408909,268.173190691,4497000.0
2010-02-02,267.74774524599997,265.82583984,264.069064565,267.74774524599997,8184200.0
2010-02-03,264.599612613,270.680698198,264.379397898,271.321323324,5992200.0
2010-02-04,268.768771772,263.65365915900003,263.043033033,269.269260261,6748600.0
2010-02-05,264.464480981,265.910922423,261.491488989,267.01703203200003,6305600.0
2010-02-08,266.516513514,267.002017518,266.03104004,271.271274275,5383200.0
2010-02-09,270.04004254299997,268.488498499,267.802798799,271.036044545,5633500.0
2010-02-10,267.302310811,267.492495996,264.10910360400004,269.16415765799997,5343600.0
2010-02-11,266.926944445,268.468478979,265.015018018,270.515506507,4815100.0
2010-02-12,266.75174274299997,266.826816317,265.515506507,268.843844845,4554800.0
2010-02-16,268.70370820799997,270.920932433,267.417422923,272.337344845,7301400.0
2010-02-17,271.271274275,269.374362363,269.07406957,271.971988489,4055300.0
2010-02-18,269.039035536,271.881900401,268.338351852,272.777774275,4669100.0
2010-02-19,270.53552602599996,270.650668669,270.120120621,272.28729579599997,5101000.0
2010-02-22,273.948947448,271.671664665,270.770785786,274.024021021,4284900.0
2010-02-23,271.77176276299997,267.802798799,266.41141091099996,272.087100601,5739400.0
2010-02-24,267.25726676700003,266.001010511,265.520511011,269.489505506,4648500.0
2010-02-25,263.82382532599996,263.47848848900003,260.26025725799997,264.509525025,6611700.0
2010-02-26,263.973971972,263.663669169,262.002017518,266.141147147,4094500.0
2010-03-01,264.864871372,266.611606106,264.134128128,266.91192993,4471300.0
2010-03-02,268.007998999,270.800815316,267.77276977,273.103092092,8704800.0
2010-03-03,271.45144995,272.932925926,269.89490090099997,274.334323824,6172600.0
2010-03-04,273.523532533,277.572574575,273.373385886,278.343356857,6361200.0
2010-03-05,280.955966967,282.387393894,280.23022822900003,284.119113614,7816500.0
2010-03-08,282.67267217200003,281.52151851900004,280.785800801,282.872867368,4768000.0
2010-03-09,280.20520370400004,280.37536987,278.52853753799997,282.612613614,6346800.0
2010-03-10,282.16217417400003,288.513523023,281.386386887,289.539554555,11298400.0
2010-03-11,287.417422923,290.860873874,287.387393894,293.398410911,8458100.0
2010-03-12,294.364353354,290.060062563,289.869876877,294.434451952,5501200.0
2010-03-15,283.62363013,281.87186036099996,278.27829329400004,285.01001351400004,9298400.0
2010-03-16,281.196201201,282.882877378,280.660678679,284.494510511,6856100.0
2010-03-17,284.434451952,283.063053053,282.407413414,286.011020521,6636500.0
2010-03-18,282.642642643,283.483493494,281.761752753,284.50452002,3550800.0
2010-03-19,280.28027727799997,280.28027727799997,278.918918419,284.284274775,9578800.0
2010-03-22,278.33334684700003,279.029026026,277.417422923,283.708713213,8001500.0
2010-03-23,278.798801302,274.774783784,271.271274275,279.434451952,10991500.0
2010-03-24,273.028018519,278.94394294299997,270.120120621,280.20520370400004,13117200.0
2010-03-25,279.78979829900004,281.72171371400003,279.609622623,286.28628929,7853900.0
2010-03-26,282.917911412,281.62662112099997,280.290286787,283.978976977,5387000.0
2010-03-29,281.781772273,281.506504004,280.565555556,282.642642643,6202700.0
2010-03-30,281.69668918900004,283.638645145,280.420413914,284.099094094,3951800.0
2010-03-31,282.807803804,283.84384534599997,281.68667968,285.155155155,6055500.0
2010-04-01,285.960971472,284.684696196,283.058048048,287.012027528,4201100.0
2010-04-05,285.735751752,285.790805806,284.784793794,287.72772572599996,3799100.0
2010-04-06,285.015018519,284.394412913,282.982974975,285.730747248,4116000.0
2010-04-07,283.933932933,282.052066567,281.21121571599997,284.659671672,5156800.0
2010-04-08,281.94195895900003,284.029026026,280.30530130200003,285.210208709,3891100.0
2010-04-09,284.029026026,283.393405906,282.282291292,284.669681181,4109000.0
2010-04-12,283.958957458,286.65164564599996,283.393405906,287.287296297,4700000.0
2010-04-13,286.551548048,293.678684184,285.850864365,294.734745246,7816700.0
2010-04-14,295.325321322,294.794803804,292.297305806,296.466464965,6798500.0
2010-04-15,296.381381882,297.947940941,294.439456957,299.219211712,13510000.0
2010-04-16,281.781772273,275.350345346,275.090091592,284.689700701,24446500.0
2010-04-19,274.649661662,275.325320821,272.77276977,277.272281282,7780200.0
2010-04-20,277.36236937,277.797794295,275.805820321,280.110111111,5948800.0
2010-04-21,278.508518018,277.427432933,276.35635735799997,280.40539889900003,4778200.0
2010-04-22,276.27627928,273.80380580599996,271.946963964,276.526523524,6554800.0
2010-04-23,273.898898899,272.767764765,271.406405906,274.93493994,4174600.0
2010-04-26,272.757754755,266.08609359400003,264.869876377,272.767764765,8728800.0
2010-04-27,264.73974975,264.794803304,263.87887938,269.434451952,7681700.0
2010-04-28,266.316318319,264.859866867,260.77579079099996,267.682681682,6805300.0
2010-04-29,266.951968969,266.26626927,263.598605606,268.518527528,6111600.0
2010-04-30,265.830844345,263.11310160200003,262.982974475,269.10910360400004,4865900.0
2010-05-03,263.513522523,265.565555055,262.802798799,266.726718719,3711800.0
2010-05-04,263.523532533,253.43844945,252.357363864,263.63363964,12140400.0
2010-05-05,250.740741241,255.135135135,250.48549199200002,258.11810610599997,9155200.0
2010-05-06,254.62962662700002,249.58458258299999,230.230227728,259.01901601599997,9990100.0
2010-05-07,250.235232733,246.816821322,240.905902403,252.912921422,10167800.0
